file,avg_perplexity,avg_style,avg_consistency,avg_accuracy,avg_ethics,average_gpt_score,average_binomial_z_score
glo_gamma=0.25_delta=1_tend=40_sampled_100.json,14.419632143974304,8.34,8.63,7.37,8.73,8.2675,1.8024297937148037
glo_gamma=0.25_delta=1_tend=5_sampled_100.json,10.766644167900086,8.36,8.69,7.48,8.69,8.305,0.5336898399655469
glo_gamma=0.25_delta=1_tend=80_sampled_100.json,10.74951963186264,8.49,8.9,7.45,8.82,8.415,1.8712390363274005
glo_gamma=0.25_delta=2_tend=10_sampled_100.json,9.895817005634308,8.35,8.75,7.17,8.5,8.1925,0.781185950190969
glo_gamma=0.25_delta=2_tend=160_sampled_100.json,12.012494480609893,8.33,8.56,7.11,8.42,8.105,2.497567828886213
glo_gamma=0.25_delta=2_tend=20_sampled_100.json,11.578723614215852,8.43,8.91,7.36,8.76,8.365,1.3733779481039932
glo_gamma=0.25_delta=2_tend=300_sampled_100.json,11.513490836620331,8.4,8.76,7.31,8.51,8.245,2.7200050330074608
glo_gamma=0.25_delta=2_tend=40_sampled_100.json,11.695932133197784,8.48,8.91,7.41,8.82,8.405,2.739038856237388
glo_gamma=0.25_delta=2_tend=5_sampled_100.json,10.142107353210449,8.54,8.99,7.46,8.84,8.4575,0.4349192457541702
glo_gamma=0.25_delta=2_tend=80_sampled_100.json,13.150184400153883,8.5,8.9,7.68,8.95,8.5075,2.4417715862375213
glo_gamma=0.25_delta=4_tend=10_sampled_100.json,10.475545701980591,8.39,8.77,7.33,8.59,8.27,1.1008376211458941
glo_gamma=0.25_delta=4_tend=160_sampled_100.json,12.54761147737503,8.18,8.48,6.82,8.49,7.9925,4.1543761526732474
glo_gamma=0.25_delta=4_tend=20_sampled_100.json,11.46165353536606,8.56,8.9,7.55,8.78,8.4475,2.4214864507087848
glo_gamma=0.25_delta=4_tend=300_sampled_100.json,13.15633572101593,8.45,8.72,7.0,8.48,8.1625,4.385779228482642
glo_gamma=0.25_delta=4_tend=40_sampled_100.json,13.800884203910828,8.43,8.72,7.01,8.46,8.155,4.352988492295419
glo_gamma=0.25_delta=4_tend=5_sampled_100.json,10.133852276802063,8.64,9.15,7.57,8.82,8.545,0.7314105448719104
glo_gamma=0.25_delta=4_tend=80_sampled_100.json,12.705166263580322,8.14,8.49,6.92,8.44,7.9975,4.409617669504232
glo_gamma=0.25_delta=8_tend=10_sampled_100.json,10.879579327106477,8.44,8.75,7.27,8.76,8.305,1.7738829653224015
glo_gamma=0.25_delta=8_tend=160_sampled_100.json,16.266756130456926,7.26,7.25,6.26,8.16,7.2325,8.031622174096709
glo_gamma=0.25_delta=8_tend=20_sampled_100.json,12.362229984998702,8.14,8.41,7.15,8.51,8.0525,4.38550070509778
glo_gamma=0.25_delta=8_tend=300_sampled_100.json,16.994020961523056,7.16,7.2,6.04,7.81,7.0525,8.334357517418654
glo_gamma=0.25_delta=8_tend=40_sampled_100.json,17.425052947998047,7.17,7.23,6.15,7.95,7.125,8.31170461476687
glo_gamma=0.25_delta=8_tend=5_sampled_100.json,11.047212898731232,8.55,8.93,7.91,8.78,8.5425,1.0050627926943527
glo_gamma=0.25_delta=8_tend=80_sampled_100.json,15.147975773811341,6.96,6.91,5.78,7.56,6.8025,8.406525025322486
glo_gamma=0.5_delta=0.5_tend=10_sampled_100.json,9.854298822879791,8.44,8.8,7.32,8.55,8.2775,-0.26911107961043756
glo_gamma=0.5_delta=0.5_tend=160_sampled_100.json,9.956875598430633,8.37,8.78,7.51,8.97,8.4075,0.44840997751315936
glo_gamma=0.5_delta=0.5_tend=20_sampled_100.json,9.573631331920623,8.36,8.93,7.2,8.48,8.2425,-0.10335463537665779
glo_gamma=0.5_delta=0.5_tend=300_sampled_100.json,11.46027281999588,8.51,9.05,7.52,8.77,8.4625,0.31631237847313065
glo_gamma=0.5_delta=0.5_tend=40_sampled_100.json,10.480879833698273,8.42,8.81,7.48,8.94,8.4125,0.4026789524761076
